Date,Real,Train,Test
2019-01-01,341.6988525390625,,
2019-01-02,345.5598449707031,,
2019-01-03,335.9073486328125,,
2019-01-04,337.83782958984375,,
2019-01-07,337.83782958984375,,
2019-01-08,339.7683410644531,,
2019-01-09,337.83782958984375,,
2019-01-10,337.83782958984375,,
2019-01-11,337.83782958984375,,
2019-01-14,337.83782958984375,,
2019-01-15,337.83782958984375,330.8843688964844,
2019-01-16,324.3243103027344,330.9671630859375,
2019-01-17,326.25482177734375,326.9215393066406,
2019-01-18,333.9768371582031,323.1552429199219,
2019-01-21,333.9768371582031,323.06158447265625,
2019-01-22,328.1853332519531,324.10711669921875,
2019-01-23,330.1158447265625,323.6283874511719,
2019-01-24,330.1158447265625,323.5062561035156,
2019-01-25,330.1158447265625,323.5764465332031,
2019-01-28,324.3243103027344,323.7566833496094,
2019-01-29,318.5328063964844,322.171630859375,
2019-01-30,318.5328063964844,318.77874755859375,
2019-01-31,328.1853332519531,315.365478515625,
2019-02-01,320.46331787109375,316.07318115234375,
2019-02-04,320.46331787109375,315.71435546875,
2019-02-05,320.46331787109375,315.2892761230469,
2019-02-06,322.3938293457031,314.845458984375,
2019-02-07,322.3938293457031,315.3092956542969,
2019-02-08,318.5328063964844,315.9716491699219,
2019-02-11,320.46331787109375,315.4144287109375,
2019-02-12,303.08880615234375,315.1112060546875,
2019-02-13,306.9497985839844,309.51092529296875,
2019-02-14,305.0193176269531,305.1658630371094,
2019-02-15,301.1582946777344,302.0288391113281,
2019-02-18,301.1582946777344,298.73077392578125,
2019-02-19,301.1582946777344,296.5281066894531,
2019-02-20,299.2278137207031,295.40655517578125,
2019-02-21,306.9497985839844,294.60693359375,
2019-02-22,316.6023254394531,296.5666809082031,
2019-02-25,333.9768371582031,301.74371337890625,
2019-02-26,306.9497985839844,312.0559997558594,
2019-02-27,314.67181396484375,312.71807861328125,
2019-02-28,308.88031005859375,312.9366149902344,
2019-03-01,310.8108215332031,310.730712890625,
2019-03-04,314.67181396484375,308.67816162109375,
2019-03-05,314.67181396484375,308.2324523925781,
2019-03-06,318.5328063964844,308.3035583496094,
2019-03-07,318.5328063964844,309.5973815917969,
2019-03-08,318.5328063964844,311.1480407714844,
2019-03-11,316.6023254394531,312.6002197265625,
2019-03-12,316.6023254394531,313.51416015625,
2019-03-13,308.88031005859375,312.96795654296875,
2019-03-14,318.5328063964844,310.2286071777344,
2019-03-15,318.5328063964844,310.1728820800781,
2019-03-18,316.6023254394531,310.9467468261719,
2019-03-19,316.6023254394531,311.3392028808594,
2019-03-20,316.6023254394531,311.50140380859375,
2019-03-21,324.3243103027344,311.6631164550781,
2019-03-22,347.4903564453125,314.08856201171875,
2019-03-25,364.8648681640625,323.66351318359375,
2019-03-26,372.5868835449219,338.2663269042969,
2019-03-27,366.7953796386719,352.98876953125,
2019-03-28,366.7953796386719,361.30584716796875,
2019-03-29,318.5328063964844,365.20379638671875,
2019-04-01,305.0193176269531,349.9546203613281,
2019-04-02,289.5752868652344,328.8858947753906,
2019-04-03,289.5752868652344,306.7673645019531,
2019-04-04,287.644775390625,290.4927673339844,
2019-04-05,287.644775390625,280.2381591796875,
2019-04-08,276.061767578125,275.7972412109375,
2019-04-09,276.061767578125,272.03240966796875,
2019-04-10,274.13128662109375,270.39849853515625,
2019-04-11,260.6177673339844,269.6822509765625,
2019-04-12,254.8262481689453,266.4443054199219,
2019-04-15,254.8262481689453,260.7629089355469,
2019-04-16,266.4092712402344,256.0977478027344,
2019-04-17,266.4092712402344,255.7548065185547,
2019-04-18,260.6177673339844,257.2794189453125,
2019-04-19,260.6177673339844,257.85382080078125,
2019-04-22,276.061767578125,258.22711181640625,
2019-04-23,272.2007751464844,262.1719665527344,
2019-04-24,266.4092712402344,265.5726318359375,
2019-04-25,264.478759765625,266.60101318359375,
2019-04-26,264.478759765625,265.74560546875,
2019-04-29,266.4092712402344,264.2984313964844,
2019-04-30,270.270263671875,263.4241638183594,
2019-05-01,270.270263671875,264.1961669921875,
2019-05-02,258.687255859375,265.2351989746094,
2019-05-03,229.729736328125,262.99365234375,
2019-05-06,239.3822326660156,252.91668701171875,
2019-05-07,237.4517364501953,245.56051635742188,
2019-05-08,223.93821716308594,239.9497528076172,
2019-05-09,220.0772247314453,233.08444213867188,
2019-05-10,210.42471313476562,226.7605743408203,
2019-05-13,216.21621704101562,220.08311462402344,
2019-05-14,200.77220153808594,216.29489135742188,
2019-05-15,210.42471313476562,211.305419921875,
2019-05-16,210.42471313476562,209.20925903320312,
2019-05-17,178.57142639160156,208.43701171875,
2019-05-20,178.57142639160156,201.70762634277344,
2019-05-21,171.81466674804688,194.9055633544922,
2019-05-22,184.36293029785156,188.09170532226562,
2019-05-23,185.32818603515625,184.69606018066406,
2019-05-24,185.32818603515625,183.52792358398438,
2019-05-27,189.18919372558594,183.4908905029297,
2019-05-28,202.70269775390625,184.89695739746094,
2019-05-29,193.05018615722656,188.8174285888672,
2019-05-30,193.05018615722656,191.67657470703125,
2019-05-31,196.91119384765625,193.62539672851562,
2019-06-03,196.91119384765625,195.0499267578125,
2019-06-04,196.91119384765625,196.0791778564453,
2019-06-05,196.91119384765625,196.5953369140625,
2019-06-06,196.91119384765625,196.97988891601562,
2019-06-07,196.91119384765625,197.1473388671875,
2019-06-10,191.11968994140625,197.15560913085938,
2019-06-11,191.11968994140625,196.06568908691406,
2019-06-12,193.05018615722656,194.95004272460938,
2019-06-13,218.14671325683594,194.1221466064453,
2019-06-14,212.35520935058594,198.2511444091797,
2019-06-17,212.35520935058594,202.61451721191406,
